Date,Open,High,Low,Close,Adj Close,Volume,Company
16-01-2018,121.18,121.940002,119.910004,120.389999,116.968575,8803800,VISA
17-01-2018,121.199997,122.160004,120.730003,121.980003,118.513374,7991500,VISA
18-01-2018,122.519997,123.199997,122.029999,123.110001,119.611259,8661000,VISA
19-01-2018,123.050003,123.650002,121.919998,122.699997,119.212921,8250700,VISA
22-01-2018,122.870003,124.330002,122.400002,124.330002,120.796608,9355000,VISA
23-01-2018,124.599998,125.510002,124.209999,124.650002,121.107513,5683300,VISA
24-01-2018,125.050003,125.449997,123.709999,124.550003,121.010353,6425200,VISA
25-01-2018,125,125.470001,124.629997,125.220001,121.661285,7166400,VISA
26-01-2018,125.769997,126.379997,124.760002,126.32,122.730042,5604900,VISA
29-01-2018,126.739998,126.879997,124.690002,124.839996,121.292099,6257900,VISA
30-01-2018,123.82,124.290001,122.839996,123.550003,120.038773,8154400,VISA
31-01-2018,123.779999,124.480003,123.040001,124.230003,120.699432,7338200,VISA
01-02-2018,124.739998,126.260002,124.099998,125.720001,122.147095,11169700,VISA
02-02-2018,123.720001,123.720001,120.699997,120.910004,117.473808,13937700,VISA
05-02-2018,118.699997,121.129997,115.010002,116.269997,112.96566,16623900,VISA
06-02-2018,115.199997,120.300003,113.25,119.970001,116.560486,19053300,VISA
07-02-2018,120.089996,122.459999,119.209999,119.650002,116.249611,9294000,VISA
08-02-2018,119.529999,119.82,113.540001,113.860001,110.62413,12673400,VISA
09-02-2018,114.550003,117.209999,111.019997,116.32,113.014229,17695500,VISA
12-02-2018,117.790001,118.839996,116.879997,118.470001,115.103134,11526300,VISA
13-02-2018,117.849998,118.800003,117.129997,118.349998,114.986549,7803900,VISA
14-02-2018,117.620003,120.949997,117.5,120.830002,117.396049,9206400,VISA
15-02-2018,121.699997,122.309998,119.970001,122.279999,119.011703,6921300,VISA
16-02-2018,121.629997,122.989998,121.57,121.849998,118.593193,6371400,VISA
20-02-2018,121.349998,123.050003,121.019997,122.010002,118.748909,6182800,VISA
21-02-2018,122.050003,122.830002,120.410004,120.43,117.211136,7676100,VISA
22-02-2018,120.669998,121.379997,119.620003,120.379997,117.162506,4994000,VISA
23-02-2018,121.57,122.959999,121.220001,122.93,119.644325,5036900,VISA
26-02-2018,123.580002,124.599998,123.32,124.589996,121.259933,6270500,VISA
27-02-2018,124.699997,125.300003,123.349998,123.370003,120.072563,7287200,VISA
28-02-2018,123.650002,124.980003,122.879997,122.940002,119.65406,6780900,VISA
01-03-2018,123.260002,124,119.620003,120.400002,117.181946,8819600,VISA
02-03-2018,119.089996,120.980003,117.860001,120.769997,117.542061,7581900,VISA
05-03-2018,120.449997,122.309998,119.440002,121.879997,118.622391,5810200,VISA
06-03-2018,122.830002,123.239998,120.669998,121.059998,117.824295,7464400,VISA
07-03-2018,120.029999,122.239998,119.699997,121.849998,118.593193,7254100,VISA
08-03-2018,121.959999,122.82,121.169998,122.220001,118.953285,6948900,VISA
09-03-2018,123.25,124.790001,122.870003,124.510002,121.182098,6397700,VISA
12-03-2018,124.75,124.980003,123.480003,124.239998,120.919289,8636000,VISA
13-03-2018,124.25,125,122.900002,123.199997,119.907089,9479500,VISA
14-03-2018,124.040001,124.040001,121.900002,122.580002,119.30368,7855000,VISA
15-03-2018,123.129997,124.419998,122.699997,123.410004,120.111488,5861900,VISA
16-03-2018,123.849998,125.050003,123.330002,124.529999,121.201546,9447100,VISA
19-03-2018,123.940002,124.309998,122.279999,123.209999,119.916832,17387800,VISA
20-03-2018,123.379997,125.169998,123.300003,124.910004,121.571396,7779700,VISA
21-03-2018,124.900002,125.440002,123.07,123.220001,119.926582,7359500,VISA
22-03-2018,122.199997,122.68,119.699997,119.989998,116.782883,10501500,VISA
23-03-2018,119.889999,120.330002,116.760002,117,113.872818,10024300,VISA
26-03-2018,119.089996,120.739998,117.800003,120.639999,117.415527,8735400,VISA
27-03-2018,121.519997,121.599998,116.739998,117.400002,114.262115,9008600,VISA
28-03-2018,116.93,118.07,116.029999,116.989998,113.863075,9420400,VISA
29-03-2018,117.68,120.589996,117.040001,119.620003,116.422791,12918100,VISA
02-04-2018,119.269997,119.830002,116.760002,118.389999,115.225655,9877100,VISA
03-04-2018,118.889999,119.989998,117.489998,119.199997,116.014015,7084800,VISA
04-04-2018,116.900002,120.120003,116.709999,119.809998,116.607719,8425700,VISA
05-04-2018,121,122.010002,120.370003,121.190002,117.950836,6816000,VISA
06-04-2018,120.18,120.559998,117.120003,117.699997,114.554108,8383800,VISA
09-04-2018,118.629997,120.669998,118.629997,118.790001,115.614983,7024800,VISA
10-04-2018,120.559998,121.160004,119.639999,120.720001,117.493401,8947200,VISA
11-04-2018,119.989998,121.660004,119.620003,119.779999,116.578491,5874900,VISA
12-04-2018,120.400002,121.980003,120.389999,121.07,117.834038,5666000,VISA
13-04-2018,121.730003,122.470001,120.650002,120.75,117.522583,9174300,VISA
16-04-2018,122.110001,122.870003,121.510002,121.879997,118.622391,6903200,VISA
17-04-2018,122.910004,124.260002,122.519997,123.800003,120.491081,5979600,VISA
18-04-2018,124.059998,124.870003,123.379997,124.480003,121.152901,5171000,VISA
19-04-2018,124.309998,124.720001,123.150002,123.959999,120.646782,7294100,VISA
20-04-2018,124.059998,124.82,123.309998,124.199997,120.880379,7479400,VISA
23-04-2018,124.300003,124.970001,123.900002,124.459999,121.133423,8004300,VISA
24-04-2018,124.870003,125.040001,120.550003,121.269997,118.028687,9434400,VISA
25-04-2018,121.139999,121.349998,119.370003,121.209999,117.970306,8001200,VISA
26-04-2018,125.139999,127.589996,123.779999,127.080002,123.683395,14345800,VISA
27-04-2018,126.440002,127.059998,125.389999,126.010002,122.641998,6842700,VISA
30-04-2018,126.739998,127.900002,126.660004,126.879997,123.488747,8449200,VISA
01-05-2018,126.860001,127.57,125.510002,127.510002,124.101913,6407300,VISA
02-05-2018,127.879997,128.100006,126,126.379997,123.002106,8515300,VISA
03-05-2018,125.809998,127.459999,125.32,127.18,123.780731,6778600,VISA
04-05-2018,126.330002,128.360001,126.07,128.160004,124.734528,5798400,VISA
07-05-2018,128.399994,129.520004,128.25,129.259995,125.805099,5737300,VISA
08-05-2018,129.139999,129.970001,128.309998,129.899994,126.428032,5044700,VISA
09-05-2018,130.009995,131,129.589996,130.839996,127.342873,6119400,VISA
10-05-2018,131.289993,131.75,130.720001,131,127.498627,6585800,VISA
11-05-2018,131,132.089996,130.229996,131.820007,128.296707,5437100,VISA
14-05-2018,132.429993,132.5,130.669998,131.210007,127.702995,5017000,VISA
15-05-2018,130.559998,131.399994,129.899994,131.100006,127.595963,5532300,VISA
16-05-2018,131.089996,131.399994,130.539993,130.889999,127.391579,5124200,VISA
17-05-2018,130.580002,130.800003,129.610001,129.929993,126.660416,4911700,VISA
18-05-2018,129.619995,130.339996,129.070007,129.929993,126.660416,6082700,VISA
21-05-2018,130.949997,131.509995,129.990005,130.660004,127.372032,5591800,VISA
22-05-2018,131,131.779999,130.5,130.710007,127.420815,6645500,VISA
23-05-2018,130.059998,131.910004,129.800003,131.880005,128.561371,6569100,VISA
24-05-2018,131.820007,132.210007,130.5,131.889999,128.571121,6035200,VISA
25-05-2018,131.880005,132.100006,130.929993,131.279999,127.976456,7509600,VISA
29-05-2018,130.389999,131.050003,129.059998,129.690002,126.426476,10401900,VISA
30-05-2018,130.199997,131.100006,129.869995,130.639999,127.352562,10631300,VISA
31-05-2018,130.649994,131.580002,129.979996,130.720001,127.430557,11086000,VISA
01-06-2018,131.839996,132.509995,130.360001,130.850006,127.557274,8323400,VISA
04-06-2018,131.940002,133.570007,131.429993,133.070007,129.721466,7178000,VISA
05-06-2018,133.380005,133.619995,132.699997,133.559998,130.199097,6198200,VISA
